"名字","人数","","名前","人数","","名字読み","人数","","名前読み","人数","","グループ名","名前","Twitter ID","フォロワー数","","グループ名","名前","Twitter ID","ツイート数"
"","","","","","","","","","","","","APOKALIPPPS","ぱいぱいでか美","paipaidekami","97808","","ふぇありーているず！","白石うらん＠ふぇありーているず！12月6日月曜日ソロプチワンマンライブ！","shiraishi_ft","62045"
"","","","","","","","","","","","","まねきケチャ","松下 玲緒菜（まねきケチャ）","matsushitareona","97377","","TEN6","💋大木場美鈴(みぃにゃん","miinyaaaaan0915","60566"
"","","","","","","","","","","","","シュレーディンガーの犬","まめだいふく【シュレ犬】","poyodaifukuya","95975","","【eN】","🌸桜井紗稀(さきちょん)❄12/18オフ会","eN_saki0311_","60147"
"","","","","","","","","","","","","i☆Ris","茜屋日海夏(i☆Ris)","iRis_a_himi","95955","","れんてつ","濱口ハンナ😈📛れんてつ😈📛🐝","FHamadryad","59981"
"","","","","","","","","","","","","#2i2","💋天羽希純💋12/11ワンマンライブ","amau_kisumi","95685","","BANZAI JAPAN","朝日珠莉愛❤︎BANZAIJAPAN千葉","juria_asahi_BJ","59611"
"","","","","","","","","","","","","夜光性アミューズ","みぽたぽた","mipo_yoruami","92405","","BANZAI JAPAN","笹川ささ🌾🎋BANZAI JAPAN新潟","sasa_sa_BJ","58494"
"","","","","","","","","","","","","26時のマスカレイド","森みはる(26時のマスカレイド)","nijimasu_paru","89232","","FEAM","佐藤梨菜/리나💎","feamrina","57169"
"","","","","","","","","","","","","まねきケチャ","宮内凛（まねきケチャ）","miyauchirin7","82557","","no concept","瀬戸万莉愛　せとまりあ（no concept）3/26空けといてほしい❤️","seto_maria_011","57093"
"","","","","","","","","","","","","i☆Ris","若井友希(i☆Ris)","iRis_w_yuki","78610","","predia","predia 水野まい 2022.6.5立川ステージガーデン💃","mai_mizuno_p","56673"
"","","","","","","","","","","","","わーすた","三品瑠香（わーすた）","tws_ruka","77211","","MELT","椚 まいか","nemi_goro","55625"
"","","","","","","","","","","","","バンドじゃないもん！MAXX NAKAYOSH","ななせぐみ(ぐみてゃん) バンもん！","gumi_nanase","74404","","#2i2","十味 #2i2","toomi_nico","55410"
"","","","","","","","","","","","","神宿","小山ひな","Hina__KMYD","73724","","イケてるハーツ","熊本美和♚イケてるハーツ","iketeru_miwa","54827"
"","","","","","","","","","","","","まねきケチャ","中川美優(まねきケチャ)","nakagawamiyuu","73344","","MIRAI☆FLEET","南瀬あみな🦋","amina_minase","54501"
"","","","","","","","","","","","","PIGGS","プー・ルイ","pour_lui","73286","","晴天の霹靂","古野愛奈（晴天の霹靂）","furunoaina","54200"
"","","","","","","","","","","","","転校少女*","プー・ルイ","pour_lui","73286","","虹色幻想曲 〜プリズム・ファンタジア","神崎りのあ💗5日三重ラッキープラザ四日市北💗6日ワンマンライブ💗コスホリA14コミケ西お29a","Rinoa_Kanzaki","53797"
"","","","","","","","","","","","","ゑんら","滝口ひかり","wyenra_hikari","72352","","Parasite.Kiss","熊山みゆ🧸💛Parasite.Kiss","parakiss_MIYU","53583"
"","","","","","","","","","","","","夜光性アミューズ","ふてこ","futeko_yoruami","71905","","HO6LA","クスノキロア","_roakusunoki6","53237"
"","","","","","","","","","","","","シンデレラ宣言！","YUNA【シンデレラ宣言！】","yamamoto_yuna","71826","","cana÷biss","りっすん@cana÷biss","arisu0405","53218"
"","","","","","","","","","","","","HO6LA","パンルナリーフィ","pan_pa__pan","71206","","百鬼乙女","櫻城姫奈🐶(百鬼乙女)@12月11日ひめ生誕祭","saku_himena","53050"
"","","","","","","","","","","","","パラディーク","新谷真由🐰【パラディーク】","mayu_pdq","70000","","S☆UTHERN CROSS","サザン☆クロス 佐倉しおり(しーちゃん)兼任⇨浅草RainboWブリッジ＆ぴんき〜らびっつ。","sc_shiori2","52919"
"","","","","","","","","","","","","Chick-flick","愛好こばと@Chick‐flick","chick_kobato","69830","","真説・真赤金伝説","野田ことね🐱毎日嘔吐く人","kotonelmo","52313"
"","","","","","","","","","","","","バンドじゃないもん！MAXX NAKAYOSH","甘夏ゆず","yuzu_amanatsu","68800","","TA女子","🍀朝日奈咲季🍀@TA女子","okuraj_saki","52249"
"","","","","","","","","","","","","i☆Ris","山北早紀🐰♡(i☆Ris)","iRis_y_saki","67731","","プリズムハート","深川史那(ふみな) プリズムハート🐸🎈","fumina2377","52130"
"","","","","","","","","","","","","#ババババンビ","宇咲 #ババババンビ (全国ツアー中🦌)","usa_usa0427","67650","","Peel the Apple","松村美月【 Peel the Apple 】","PtA_mizuki","52011"
"","","","","","","","","","","","","BLACKNAZARENE","村田実果子","mikaphith","67215","","Lion net girl","雛森りんご","ringo30love","51864"
"","","","","","","","","","","","","バンドじゃないもん！MAXX NAKAYOSH","恋汐りんご(汐りん)バンもん！🍎🐰","sioringogo","66811","","TA女子","伊藤 奏恵🍮🍦🍕 @TA女子","ikuta_kana","51471"
"","","","","","","","","","","","","バンドじゃないもん！MAXX NAKAYOSH","みさこ(神聖かまってちゃん/バンもん!MN)","SKCmisako","66350","","虹色の飛行少女","愛迫みゆ🎤💕🌈@虹色の飛行少女＆SAISON💐←11/28 生誕祭🎂","aisakomiyu","50849"
"","","","","","","","","","","","","EMPiRE","MiKiNA EMPiRE","MiKiNA_EMPiRE","64385","","GRATIA-ALA","Miyu@12/11(土)Rina生誕12/18(土)Nagi生誕RADHALL","GRATIAALA_Miyu","50777"
"","","","","","","","","","","","","OdAkEi IDOL PROJECT","ツグミ＝ノア","_udontabetaii","63730","","APOKALIPPPS","宇佐蔵べに","usakura_beni","50351"
"","","","","","","","","","","","","#ババババンビ","小鳥遊るい #ババババンビ","pipipi_br","61643","","夜光性アミューズ","みぽたぽた","mipo_yoruami","49727"
"","","","","","","","","","","","","EMPiRE","NOW EMPiRE","NOW_EMPiRE","61023","","プランクスターズ","カン・ニャン","plasta_kannyan","49372"
"","","","","","","","","","","","","バンドじゃないもん！MAXX NAKAYOSH","望月みゆ(みゆちぃ)🧀バンもん！緑","myc416","60684","","8FLAG","牧原ゆかり","yukari_8FLAG","49258"
"","","","","","","","","","","","","EMPiRE","MAYU EMPiRE","MAYU_EMPiRE","59611","","民族ハッピー組","遠矢るい🐹【民族ハッピー組】","rui_hpp","48791"
"","","","","","","","","","","","","#ババババンビ","吉沢朱音 #ババババンビ","akanekogurasi","58774","","放課後プリンセス","関根ささら♔放課後プリンセス","sasaluv_0114","48579"
"","","","","","","","","","","","","ギルドロップス","山田麻莉奈","maririchan_324","58736","","虹色幻想曲 〜プリズム・ファンタジア","篠原みなみ","snhr_minami","48508"
"","","","","","","","","","","","","JamsCollection","坂東遥-JamsCollection-","haruka_jams","58486","","RiNCENT.","琴吹ゆず(RiNCENT.）2/25ワンマン！","rincent_yuzu","48469"
"","","","","","","","","","","","","MM","ぷうたん","PUUTAN_318","57820","","神風センセーション","北崎渚沙@神風センセーション","kamikaze_nagisa","48220"
"","","","","","","","","","","","","わーすた","廣川 奈々聖 (12.25@中野サンプラザ)","tws_nanase","57669","","Asterisk*zero","椎葉 彩【Asterisk*zero】","aste_SHIIBA","48030"
"","","","","","","","","","","","","フラミングの法則","村上りいな🍣@9thDVD 12月発売！📀","riina1126_ryry","56231","","XOXO EXTREME","一色萌🍛キスエク","hiiro_moe","47804"
"","","","","","","","","","","","","ナナランド","峰島こまき🌈ナナランド","komaki_7land","56001","","Dolly Kiss","乃井りこ(りたん)🐣ﾄﾞﾘｷｽ23日ワンマン","rico_dollykiss","46698"
"","","","","","","","","","","","","GO TO THE BEDS","月ノウサギ","TSUKI_PARADISES","55947","","バンドじゃないもん！MAXX NAKAYOSH","みさこ(神聖かまってちゃん/バンもん!MN)","SKCmisako","46666"
"","","","","","","","","","","","","シンデレラ宣言！","SUZU 【シンデレラ宣言！】","Dekomorio0","55460","","サンスポアイドルリポーターSIR","利根さやな🍮(SIR)🍆ワンマン感謝！","tonesayana","46489"
"","","","","","","","","","","","","EMPiRE","MiDORiKO EMPiRE","MiDORiKO_EMPiRE","55333","","バンドじゃないもん！MAXX NAKAYOSH","ちゃんもも◎a.k.a.大桃子サンライズ🌞☯️🌹","chanmomochan10","45924"
"","","","","","","","","","","","","EMPiRE","MAHO EMPiRE","MAHO_EMPiRE","55086","","ニコニコ♡LOVERS","桃音あんな🍓ニコラバ12/5生誕祭","mmn_an","45919"
"","","","","","","","","","","","","神宿","羽島めい","MEI_KMYD","54923","","AIBECK","ひなたゆか∞🎈AIBECK12月4日新宿MARZ","aibeck_yuka","45917"
"","","","","","","","","","","","","まねきケチャ","深瀬美桜（まねきケチャ）","fukasemio330","54919","","神使轟く、激情の如く。","実久里ことの👓·̩͙@3.30武道館","shingeki_kotono","45888"
"","","","","","","","","","","","","虹色の飛行少女","江﨑 葵@虹色の飛行少女","_aoi1826_","54904","","純粋カフェラッテ","飯田愛梨🐈🐈‍⬛純粋カフェラッテ（旧：飯田結万）🌈TIF2021出演決定🌈","eri_syl","45269"
"","","","","","","","","","","","","sherbet","清瀬 汐希","yuki_kiyose","54796","","イタズラJOKER","AYA＠イタズラJOKER","ITAJO_AYA","45179"
"","","","","","","","","","","","","あげもん！","橋本 からあげ 🍛","ro_panpan1010","53858","","ATLEPY","蒼 えりか🐬【ATLEPY】","_aoi_erika_","44811"
"","","","","","","","","","","","","我儘ラキア","MIRI (我儘ラキア)","rakia_miri_rbs","53314","","もうめり","甘池 ルイ🥀🐈‍⬛もうめり","MMC_rui","44731"
"","","","","","","","","","","","","26時のマスカレイド","江嶋 綾恵梨(26時のマスカレイド)","nijimasu_aeri","53011","","PUNKY RAD PINK","LULU🐸ིྀPUNKY RAD PINK #パラピン","lulu_PRP","44709"
"","","","","","","","","","","","","ONE BY ONE","さや久保","00080p0","52928","","PIGGS","プー・ルイ","pour_lui","44693"
"","","","","","","","","","","","","きゅるりんってしてみて","逃げ水あむ","_mochizou_","52047","","転校少女*","プー・ルイ","pour_lui","44693"
"","","","","","","","","","","","","EMPiRE","YU-Ki EMPiRE","YU_Ki_EMPiRE","51805","","テラス×テラス","薮田こもも（テラス×テラス）","teratera_comomo","44635"
"","","","","","","","","","","","","Re:verie","雨瀬りおな","reverie_riona","51579","","BANZAI JAPAN","朝日奈ゆうみ🐤BANZAI JAPAN大阪府伝道師🐙24日4thシングル キックオフイベント💿","Yumi_a_BJ","44592"
"","","","","","","","","","","","","わーすた","わーすた 坂元葉月","tws_hazuki","51247","","アルカナビス","れいな寿司は12/11生誕ライブ=͟͟͞͞🍣","re_sushi_abyss","44575"
"","","","","","","","","","","","","ワッツ◎さーくる","花咲ひより ワッツ◎さーくる／ネコプラmom.","hiyori_hanasaki","50950","","notall","❤️‍🔥 佐藤 遥","haruka26s","44457"
"","","","","","","","","","","","","#ババババンビ","近藤沙瑛子🐾 #ババババンビ","saekondo_inu","50366","","FaM","えむ@FaM","FaM_emu","44345"
"","","","","","","","","","","","","わーすた","松田美里˙ ˟ ˙わーすた12.25中野サンプラザ","tws_miri","49657","","SEVEN4","おがたゆき@のーぷらん。","yuki_ogata22","44089"
"","","","","","","","","","","","","PassCode","南菜生","PassCode_nao","49598","","COLOR'z","橘れおな【COLOR'z】【ソラネルカンパニー】","Leona_chaaaan","44039"
"","","","","","","","","","","","","POMÜM","白石かんな","Shiraishi_Kanna","49518","","Sistersあにま","ワロタ神 香月友梨奈🌈🍎Sistersあにま🦀🐓10/26 2ndシングルメジャーリリース","yurina_kazuki","44002"
"","","","","","","","","","","","","POMÜM","🅼𝕚🆁𝕚𝕔𝕙𝕒𝕟40歳♥12/20ワンマン","MiRichan_mm","48867","","月に足跡を残した6人の少女達は一体何を見たのか...","夏目一花(月に足跡を残した6人の少女達は一体何を見たのか…)","natsume_ichika","43820"
"","","","","","","","","","","","","純情のアフィリア","優希クロエ","Chloe_J_Afilia","48769","","DREAMING MONSTER","木下沙央里♡3/25ありがとう♡","saori_DM","43470"
"","","","","","","","","","","","","虹色幻想曲 〜プリズム・ファンタジア","篠原みなみ","snhr_minami","47236","","ふぇありーているず！","夢咲あかり@ふぇありーているず！🍊12/22(水)ReNYワンマン来てください♥","yumesaki_ft","43429"
"","","","","","","","","","","","","PARADISES","ココ・パーティン・ココ","COCO_GO_TO","46468","","きみぷり","きみぷり🎰あおいちゃんす〜🐼","kimipri_aoi","43146"
"","","","","","","","","","","","","真っ白なキャンバス","小野寺梓@真っ白なキャンバス","azusa_shirokyan","46460","","PARADISES","ユメノユア","YUA_GO_TO","42921"
"","","","","","","","","","","","","PARADISES","ヤママチミキ","MIKI_GO_TO","46117","","MateRiaL","秋元悠希","akimotoyouki","42874"
"","","","","","","","","","","","","PARADISES","ユイ・ガ・ドクソン","DOCKSON_GO_TO","45303","","ピューパ!!","天音たると👼🏻🤍01/08ピュ－パ!! 3rdワンマン@代官山UNIT","taruto_pupa","42829"
"","","","","","","","","","","","","LinQ","新木さくら@LinQ","araki_sakura","45056","","天空のシラバス","陽乃ほのか☀️天空のシラバス","hono_piii","42798"
"","","","","","","","","","","","","アイオケ","白石みずほ","MizuhoShiraishi","44201","","cana÷biss","ごいちー🍜恋してビャンビャン麺","goichiiiii","42729"
