"グループ名","TwitterID","TwitterName","フォロワー数","ツイート数","フォロワー数","ツイート数","","グループ名","TwitterID","TwitterName","フォロワー増減","","グループ名","TwitterID","TwitterName","ツイート増減"
"#BEMYLOVE","riaratan","りあら🦄💜#BEMYLOVE","1589","4880","1589","4880","","【eN】","eN_mimori_","水守　あき奈","0","",".BPM","amn_hiroko","天野ひろこ【.BPM】springツアー決定👑","0"
"#LOG1N","LOG1N_babu","ﾊﾞﾌﾞﾐ・ﾓｴ【#LOG1N】","9707","5196","9707","5196","","【eN】","eN_nami0620","やまだなみ🍑","0","",".BPM","miyamura_nene","宮村寧々【.BPM】春3大都市ツアー","0"
"#LOG1N","LOG1N_nachico","なちこ ［#LOG1N］","6766","1707","6766","1707","","【eN】","eN_saki0311_","🌸桜井紗稀(さきちょん)❄","0","",".BPM","t__serina","高任芹奈【.BPM 】","0"
"#LOG1N","LOG1N_NiA","NiA","12322","846","12322","846","","【eN】","eN_sena_","成瀬せな🐯【eN】","0","","［PUZZLE.］","_kano_sayaka","夏乃さやか💎12/5 恵比寿CreAto 香椎ゆい生誕祭","0"
"#LOG1N","LOG1N_riian","りぃあん ( #LOG1N )","11081","12586","11081","12586","","＆シンフィニティ","_mnsmmk","水瀬ももか","0","","［PUZZLE.］","maaari__1227","🥀MARIKO🐼12/5🌙恵比寿CreAto【香椎ゆい生誕祭🎂】","0"
"#LOG1N","LOG1N_sarimaru","国木田さりまる【#LOG1N】","5776","839","5776","839","","＆シンフィニティ","ars_kako","有栖かこ🐇🍓","0","","［PUZZLE.］","satoh_maaya","佐藤まあや🐝［PUZZLE.］🧡12/5 香椎ゆい生誕祭in恵比寿CreAto","0"
"#PANnana ーパンダの指は実は７本ある。ー","haruka_mukai","向井はるか #PANnana","1674","1819","1674","1819","","＆シンフィニティ","hsgwak68","長谷川あき(＆シンフィニティ)","0","","［PUZZLE.］","yuiyuidayo_12","香椎ゆい［PUZZLE.］🌼12/5(日)恵比寿CreAto生誕祭🎂🌼","0"
"#PANnana ーパンダの指は実は７本ある。ー","kai_futaba","双葉かい #PANnana","1453","2398","1453","2398","","＆シンフィニティ","ogurasayaka","小倉さやか【&シンフィニティ】","0","","【eN】","eN_ann_","宮坂杏🐸🌻","0"
"#PANnana ーパンダの指は実は７本ある。ー","mone_otoshima","音嶋もね #PANnana新メンバー","536","159","536","159","","＆シンフィニティ","RinoMoon921","月島りの【＆シンフィニティ】","0","","【eN】","eN_fu_","蒼井ふう🦋🍼【eN】","0"
"#PANnana ーパンダの指は実は７本ある。ー","nodoka_hiroi","廣井のどか #PANnana 新メンバー","698","243","698","243","","#2i2","amau_kisumi","💋天羽希純💋12/11ワンマンライブ","0","","【eN】","eN_mimori_","水守　あき奈","0"
"#PANnana ーパンダの指は実は７本ある。ー","runa__kaname","要るな #PANnana","1870","1567","1870","1567","","#2i2","anchuu_122","森嶋あんり #2i2","0","","【eN】","eN_nami0620","やまだなみ🍑","0"
"#PANnana ーパンダの指は実は７本ある。ー","shizuku_ichijo","一条しずく #PANnana","1430","1926","1430","1926","","#2i2","yui_oku","奥ゆい #2i2","0","","【eN】","eN_saki0311_","🌸桜井紗稀(さきちょん)❄","0"
"#PANnana ーパンダの指は実は７本ある。ー","sora__ayane","彩音そら #PANnana","1487","2575","1487","2575","","#BEMYLOVE","kanna_bml","安達かんな🧸#BEMYLOVE","0","","【eN】","eN_sena_","成瀬せな🐯【eN】","0"
"#PEXACOA","ayumi_pexacoa","神崎あゆみ #PEXACOA","2868","953","2868","953","","#BEMYLOVE","mizuki_bml","大宮 瑞貴🐿 #BEMYLOVE","0","","＆シンフィニティ","_mnsmmk","水瀬ももか","0"
"#PEXACOA","haru_PEXACOA","白瀬はる #PEXACOA","1944","7124","1944","7124","","#BEMYLOVE","riaratan","りあら🦄💜#BEMYLOVE","0","","＆シンフィニティ","ars_kako","有栖かこ🐇🍓","0"
"#PEXACOA","koharu_pexacoa","鈴音こはる #PEXACOA","3658","2263","3658","2263","","#LOG1N","LOG1N_babu","ﾊﾞﾌﾞﾐ・ﾓｴ【#LOG1N】","0","","＆シンフィニティ","hsgwak68","長谷川あき(＆シンフィニティ)","0"
"#PEXACOA","kurumi_pexacoa","月島くるみ #PEXACOA","2214","361","2214","361","","#LOG1N","LOG1N_nachico","なちこ ［#LOG1N］","0","","＆シンフィニティ","ogurasayaka","小倉さやか【&シンフィニティ】","0"
"#PEXACOA","mami_PEXACOA","黒宮まみ #PEXACOA","757","172","757","172","","#LOG1N","LOG1N_NiA","NiA","0","","＆シンフィニティ","RinoMoon921","月島りの【＆シンフィニティ】","0"
"#PEXACOA","naho_pexacoa","涼木なほ #PEXACOA","1382","1976","1382","1976","","#LOG1N","LOG1N_riian","りぃあん ( #LOG1N )","0","","#2i2","amau_kisumi","💋天羽希純💋12/11ワンマンライブ","0"
"#PEXACOA","nao_PEXACOA","城月菜央(#PEXACOA)","1825","4465","1825","4465","","#LOG1N","LOG1N_sarimaru","国木田さりまる【#LOG1N】","0","","#2i2","anchuu_122","森嶋あんり #2i2","0"
"#PEXACOA","riisa_PEXACOA","宮凪りぃさ【#PEXACOA】","1448","3871","1448","3871","","#PANnana ーパンダの指は実は７本ある。ー","haruka_mukai","向井はるか #PANnana","0","","#2i2","toomi_nico","十味 #2i2","0"
"#PEXACOA","sora_pexacoa","高木そら#PEXACOA","1360","1331","1360","1331","","#PANnana ーパンダの指は実は７本ある。ー","kai_futaba","双葉かい #PANnana","0","","#2i2","yui_oku","奥ゆい #2i2","0"
"#PEXACOA","yuma_pexacoa","まゆたゆま #PEXACOA【1/16 EASTワンマン】","5033","598","5033","598","","#PANnana ーパンダの指は実は７本ある。ー","mone_otoshima","音嶋もね #PANnana新メンバー","0","","#BEMYLOVE","kanna_bml","安達かんな🧸#BEMYLOVE","0"
